LYCHEE YAKULT,LUMOS KOPI SUSU SIGNATURE,KOREAN GARLIC BREAD,,,,,
CAPPUCINO ICE,LONG BLACK ICE,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
KOREAN GARLIC BREAD,,,,,,,
OKINAWA BROWN SUGAR BOBA MILK,LUMOS KOPI SUSU SIGNATURE,,,,,,
CARAMEL MACCHIATO,LUMOS KOPI SUSU SIGNATURE,,,,,,
LEKKER HOLAND,,,,,,,
KOREAN GARLIC BREAD,LEKKER HOLAND,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
LONG BLACK HOT,CARAMEL LATTE ICE,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
DURIAN PRESSO,AVOCADO PRESSO,,,,,,
CAFE LATTE HOT,CAFE LATTE ICE,,,,,,
THAI TEA,,,,,,,
HAZELNUT LATTE ICE,CAPPUCINO ICE,,,,,,
COOKIES AND CREAM LATTE,LUMOS KOPI SUSU SIGNATURE,CAFE LATTE ICE,,,,,
LUMOS KOPI SUSU SIGNATURE,LYCHEE YAKULT,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
